"행정구역별",2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별",합계출산율 (가임여성 1명당 명),모의 연령별출산율:15~19세 (해당연령 여자인구 1천명당 명),20~24세 (해당연령 여자인구 1천명당 명),25~29세 (해당연령 여자인구 1천명당 명),30~34세 (해당연령 여자인구 1천명당 명),35~39세 (해당연령 여자인구 1천명당 명),40~44세 (해당연령 여자인구 1천명당 명),45~49세 (해당연령 여자인구 1천명당 명)
"영천시",1.189,0.0,10.0,41.8,117.0,59.8,8.9,0.0
"상주시",0.978,0.5,7.5,37.4,86.0,51.9,9.3,0.4
"문경시",0.917,0.8,2.9,34.7,86.8,49.5,6.2,0.5
"경산시",0.807,0.4,3.7,26.8,75.8,45.3,8.0,0.1
"의성군",1.406,0.0,7.8,42.6,138.9,75.1,15.6,0.0
"청송군",1.334,0.0,14.1,43.7,132.3,65.4,11.7,0.0
"영양군",0.755,0.0,5.0,36.4,76.5,28.2,3.5,0.0
"영덕군",0.864,2.1,4.9,32.7,74.9,44.2,12.9,0.0
"청도군",0.909,0.0,0.0,26.4,92.9,49.0,10.1,1.1
"고령군",1.038,0.0,9.1,32.8,96.4,56.3,8.6,0.0
"성주군",1.169,0.0,7.9,50.1,92.7,65.3,14.5,1.1
"칠곡군",0.646,1.2,7.5,30.6,53.0,29.8,5.8,0.2
"예천군",1.184,0.0,7.7,41.1,104.3,64.3,18.7,0.0
"봉화군",0.915,0.0,8.9,49.3,84.2,34.6,5.7,0.0
"울진군",1.053,0.0,7.5,38.5,85.3,66.4,9.4,0.0
"울릉군",0.789,0.0,0.0,19.7,68.8,38.5,23.5,4.1
"경상남도",0.799,0.2,5.1,30.5,77.2,38.9,6.8,0.1
"진주시",0.887,0.0,5.0,29.6,90.3,43.8,7.8,0.1
"통영시",0.711,0.7,4.2,30.1,69.2,30.6,5.8,0.2
"사천시",0.909,0.9,10.8,45.8,83.5,34.8,4.8,0.0
"김해시",0.838,0.1,4.6,32.9,81.2,41.2,6.6,0.1
"밀양시",0.741,0.0,7.2,28.9,69.4,32.6,9.1,0.0
"거제시",0.717,0.3,6.0,33.0,66.4,31.0,4.5,0.1
"양산시",0.806,0.0,5.0,29.5,77.6,40.6,7.8,0.3
"통합창원시",0.774,0.3,4.5,28.8,75.0,39.0,6.6,0.1
"의창구",0.770,0.2,4.4,26.3,70.7,44.6,7.3,0.3
"성산구",0.770,0.2,2.6,24.0,77.5,43.2,6.0,0.0
"마산합포구",0.811,0.6,6.1,27.8,81.9,36.9,7.8,0.2
"마산회원구",0.659,0.5,2.5,25.3,65.0,33.0,4.4,0.1
"진해구",0.873,0.0,8.1,46.2,78.3,34.0,7.2,0.0
"의령군",0.746,0.0,6.5,29.3,53.8,47.9,7.6,1.8
"함안군",0.728,0.0,6.4,36.6,62.6,32.4,7.1,0.0
"창녕군",0.810,0.0,8.2,25.1,79.2,40.2,7.1,0.0
"고성군",0.619,0.0,6.9,26.7,48.4,33.7,4.8,0.7
"남해군",0.661,1.5,1.9,14.4,57.8,43.1,10.7,0.0
"하동군",0.868,0.0,1.8,33.1,70.1,56.9,9.2,0.0
"산청군",0.764,0.0,8.8,27.0,55.6,55.3,4.9,0.0
"함양군",0.734,0.0,8.8,17.8,59.2,43.5,13.2,0.0
"거창군",1.020,0.0,7.1,42.3,103.6,40.2,9.5,0.0
"합천군",0.636,1.9,5.9,27.5,65.6,20.0,4.0,0.0
"제주특별자치도",0.827,0.5,5.8,32.0,72.7,43.4,10.0,0.3
"제주시",0.844,0.6,5.5,33.4,74.0,45.1,9.5,0.3
"서귀포시",0.767,0.3,6.8,27.1,68.4,38.4,11.3,0.3
